,title,tags,primaryTopic,brief,description,address,city,website,latitude,longitude
10,Nachbarschaftshaus am Körnerpark,"['Neukölln', 'Stadtteilzentrum', 'Beratung', 'Nachbarschaft', 'Erholung', 'o ri nacneu', 'Ort']",Nachbarschaft,Stadtteilzentrum in Neukölln,"Das Nachbarschaftshaus am Körnerpark ist ein Stadtteilzentrum im Körnerkiez nahe dem S-Bahnhof Neukölln. Seit über 70 Jahren ist es ein offenes Haus, das sich an den Bedürfnissen der Anwohner*innen orientiert.  Es gibt viele verschiedene Angebote, z.B. eine Kita und einen Kindertreff aber auch Angebote für Erwachsene. Das Nachbarschaftshaus ist einer von mehreren Standorten des Nachbarschaftheim Neukölln e.V.","Schierker Straße 53
",Berlin,https://www.nbh-neukoelln.de/standorte/nachbarschaftshaeuser-und-stadtteilarbeit/nachbarschaftshaus-am-koernerpark/,52.4706979,13.4385042
11,Sozialberatung für wohnungslose Menschen,"['obdachlos', 'mitte', 'Friedrichshain Kreuzberg', 'Pankow', 'Charlottenburg Wilmersdorf', 'spandau', 'Steglitz Zehlendorf', 'Tempelhof Schoeneberg', 'Neukölln', 'Treptow Koepenik', 'Marzahn Hellersdorf', 'Lichtenberg', 'Reinickendorf', 'Beratungsstelle', 'Beratung', 'Gehäuse', 'o ri berobd', 'Ort']",Beratung,Beratung zu Sozial- und Wohnhilfe,Seit Anfang 2021 bieten wir von Wohnungslosigkeit bedrohten und wohnungslosen Menschen eine Beratung zu den Themen Sozial- und Wohnhilfe an und helfen bei der Vermittlung von Sozialleistungen und der Suche nach einem Wohnraum. Im Vordergrund stehen dabei deine Bedürfnisse als betroffene Person. Die Beratung ist ein Angebot der Berliner Obdachlosenhilfe e.V.,Lynar Straße 38,Berlin,https://www.berliner-obdachlosenhilfe.de/sozialberatung/,52.5409088,13.3619138
12,Kinder- und Jugendclub der Sinneswandel gGmbH,"['Jung', 'Hintergrund der Behinderung', 'Friedrichshain Kreuzberg', 'Hörgeschädigte', 'Beratungsstelle', 'Bildungszentrum', 'Jugendeinrichtung', 'Tagungszentrum', 'Gruppe', 'persönlich', 'online', 'Beratung', 'Nachbarschaft', 'Geisteswissenschaften', 'Erholung', 'o ri sinfghmb', 'Dienst']",Erholung,"Wir sind ein offener Kinder- und Jugendtreff für hörende, schwerhörige und gehörlose Kinder und Jugendlichen von 0-27.","Hörende, schwerhörige und gehörlose Kinder und Jugendliche können unangemeldet zu unseren Öffnungszeiten vorbeischauen. Wir sind für viele ein Anlaufpunkt auch in Begleitung von Einzelfall- oder Familienhelfer/innen, die bei uns erste Kontakte zu gehörlosen und hörgeschädigten Kindern und Jugendlichen knüpfen.

WAS machen wir im Kinder- und Jugendclub?

Neben fortlaufenden Angeboten, wie beispielsweise der Hilfe bei Hausaufgaben, Tischtennis oder Gesellschaftsspielen finden freizeitpädagogische Projekte wie Kochen, Video- und Fotoprojekte sowie sportliche Aktivitäten statt. Kreative und kulturelle Angebote, wie z.B. Tanztheaterkurse, geben den Kindern und Jugendlichen die Chance, ihrer Phantasie freien Lauf zu lassen.
Indem wir praktische Angebote mit Bildung verbinden, möchten wir den Kindern und Jugendlichen eine Angebotsstruktur bieten, die Spaß, praktische sowie theoretische Wissensanreicherung und die Entwicklung und Förderung von Sozialkompetenzen vereint.
Das Team der Einrichtung gewährleistet Interessierten und Personen, welche Hilfe oder Unterstützung benötigen, Beratung und Informationen und ist permanent als Ansprechpartner für Eltern, Kinder und Jugendliche da. Sowohl in der Elternberatung als auch in der Kinder- und Jugendberatung geht es vorwiegend um die bewusste Wahrnehmung der Rechte von Menschen mit Gehörlosigkeit/Hörschädigung, vor allem in Bezug auf Teilhabe am gesellschaftlichen Leben und angemessene Kommunikationsmöglichkeiten.",Friedrichstr. 12,Berlin,http://www.sinneswandel-berlin.de/3a,52.50174110767835,13.392027751914316
13,Präventionszentrum Frühe Hilfen,"['Familien', 'Jung', 'Fluchthintergrund', 'Migrationshintergrund', 'Neukölln', 'Rollstuhl', 'Beratungsstelle', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Gesundheit', 'Bildung', 'o ri tabtlggm', 'Ort']",Gesundheit,Frühe Hilfen Präventionszentrum Frühe Hilfen an der Kita Treptower Str. – tandem BTL gGmbH,"Das Präventionszentrum Frühe Hilfen ist ein Ort der Begegnung, Beratung und Bildung für werdende Eltern und Familien mit Babys und kleinen Kindern bis vier Jahren im Harzer Kiez. Wir unterstützen Familien bei allen Fragen zur Schwangerschaft, Geburt, kindlichen Entwicklung und Erziehung und rund um das Familienleben. Ein vielfältiges Angebot an Gruppen, Kursen und Beratung stärken Familien in ihren Beziehungs-, Erziehung-, Bildungs- und Gesundheits­kompetenzen und fördern eine positive Entwicklung. Für einen gemeinsamen guten Start ins Leben!

Das Präventionszentrum ist mit zahlreichen anderen Projekten und Angeboten der Kinder- und Jugendhilfe und Netzwerkpartner im Sozialraum und Neukölln weit gut vernetzt.

ONLINE KURSE

Folgende Angebote finden aktuell online statt:  

Indische Babymassage (Eltern mit Babys bis 5 Monate) - dienstags von 12-13 Uhr 
Babyyoga (Eltern mit Babys von 4-12 Monate) - montags von 11.30-12.30 Uhr 

Eine vorherige Anmeldung per Mail (praeventionszentrum@tandembtl.de) oder Telefon (0151 4616 9809) ist erforderlich. Gern vermitteln wir euch auch zu folgenden Online Kursen von Sangeeta:

Yoga für Frauen mit Baby (mit Rückbildungselementen), dienstags von 10.30-11.30 Uhr 
Schwangerenyoga, dienstags von 9-10 Uhr 
Morning Yoga für Mamas & Papas von Babys und Kleinkindern, montags von 10-11 Uhr",Treptower Str. 32a,Berlin,https://fruehe-hilfen.tandembtl.de/start.html,52.4823689,13.4540342
14,Schwangerschaftskonfliktberatung,"['Familien', 'Frauen', 'Pankow', 'Beratungsstelle', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Gesundheit', 'Beratung', 'o ri humvbb', 'Dienst']",Gesundheit,Anerkannte Schwangerschaftskonfliktberatungsstelle,"Wir sind eine anerkannte Schwangerenberatungsstelle in Berlin-Prenzlauer Berg und bieten seit über 25 Jahren konkrete Hilfestellung für Frauen und deren Angehörige während und nach der Schwangerschaft, insbesondere bei Problemen und Konflikten. Anliegen unserer Arbeit ist die individuelle Unterstützung der Frau, damit sie selbstbestimmt und verantwortungsvoll handeln kann.

Unser Beraterinnen-Team aus konfessionsfreien Fachkräften mit Berufserfahrung in den Bereichen Psychologie, Sozialarbeit und Sexualpädagogik berät Sie einfühlsam, lösungs- und ressourcenorientiert. Wir garantieren für alle Gespräche und Beratungen Anonymität und Datenschutz. Unsere Mitarbeiterinnen unterliegen der Schweigepflicht.

Unser Beratungsangebot richtet sich an Frauen, Paare und Familien mit Kindern im Alter bis drei Jahre und umfasst die folgenden Hilfe- und Unterstützungsleistungen:
- Kostenlose Pflichtberatung bei Schwangerschaftsabbruch nach §218/§219
- Sozialrechtliche Beratung zu gesetzlichen Ansprüchen und wirtschaftlichen Hilfen
- Antragstellung bei der ""Stiftung Hilfe für die Familie"" 
- Psychologische Beratung für Einzelne und Paare 
- Psychosoziale Beratung im Kontext von Pränataldiagnostik
- Schwangerenfrühstück
- Sexualpädagogische Aufklärung und Multiplikatorenarbeit für Lehrer_innen und Erzieher_innen
- Rechtsberatung zu ALG II (Hartz IV)
- Praktische Hilfsangebote (Tauschbörse für Umstandsbekleidung und Babysachen; Literaturbörse)",Paul-Robeson-Str. 30,Berlin,http://www.schwangerschaftskonflikt-berlin.de,52.55272178254946,13.404994187266075
15,Gesprächsgruppen für pflegende und betreuende Angehörige,"['Senioren', 'Frauen', 'queer', 'Männer', 'Migrationshintergrund', 'Charlottenburg Wilmersdorf', 'Rollstuhl', 'Beratungsstelle', 'Selbsthilfe-Anlaufstelle', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Dienst', 'Gesundheit', 'Beratung', 'Sorge', 'Selbsthilfe', 'o ri selkoev']",self_help,Austausch und Entlastung,"Möchten Sie als pflegende\*r Angehörige\*r mit anderen Menschen in Kontakt kommen, sich über Ihre Erfahrungen und Belastungen unterhalten? In Gesprächsgruppen können Sie Kraft tanken für den Alltag. 
Oder möchten Sie als pflegende\*r Angehörige\*r neue Menschen zur gemeinsamen Freizeitgestaltung kennenlernen? Wir bringen Sie zusammen.",Bismarckstr. 101,Berlin,http://www.pflegeselbsthilfe-berlin.de,52.51166999085591,13.31284401342859
16,Gutshaus Lichterfelde,"['Senioren', 'Familien', 'Frauen', 'Jung', 'queer', 'Männer', 'Hintergrund der Behinderung', 'Fluchthintergrund', 'Migrationshintergrund', 'obdachlos', 'Steglitz Zehlendorf', 'Haus in der Nachbarschaft', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Rollstuhl', 'barrierefreies Badezimmer', 'o ri Geschmack', 'Dienst', 'Beratung', 'Ehrenamt', 'Nachbarschaft', 'Geisteswissenschaften', 'Selbsthilfe', 'Erholung', 'Englisch', 'Deutsch']",Nachbarschaft,Ein Haus für Nachbarn,"Zum 1. Juni 1999 übernahm das Stadtteilzentrum Steglitz e.V. die Verantwortung für das Gutshaus Lichterfelde und die Kindertagesstätte. Seitdem steht es der generationsübergreifenden und gemeinwesenorientierten Arbeit des sozialen Trägers, dem Stadtteilzentrum Steglitz e.V., zur Verfügung. Besonders malerisch im schönen Schlosspark Lichterfelde gelegen, bietet das Haus Ruhe, Erholung und Abwechslung.

Manuela Kolinski und Saskia Zimpel organisieren das Leben im Gutshaus. Sie koordiniert alle Angebote, Gruppen, Kurse, Beratungen, Veranstaltungen sowie Vermietungen für private Feste. Zudem stehen sie in enger Zusammenarbeit mit der Kindertagesstätte, die ihre Räume in den oberen Etagen des Hauses hat. 

Kernstück des Hauses ist das Nachbarschaftscafé, das Begegnung, Austausch und Kommunikation für jeden Besucher bietet. Das Café wird vornehmlich von ehrenamtlichen Helfer* innen organisiert, die am Vormittag belegte Brötchen und am Nachmittag selbst gebackenen Kuchen anbieten. Kaffee, Tee und Getränke stehen immer bereit. Der besondere Schwerpunkt des Hauses liegt in der Begegnung der Menschen und, wo gewünscht, ihrer Unterstützung. Kommen Besucher*innen mit einem besonderes Anliegen, wird geschaut, wie man helfen kann und wer aus dem großen Netzwerk des Stadtteilzentrum Steglitz e.V. der richtige Ansprechpartner ist.

Im Gutshaus Lichterfelde ist jeder willkommen, der Gemeinschaft sucht, gleich ob er oder sie sich beteiligen möchte oder einfach nur etwas Abwechslung braucht.",Hindenburgdamm 28,Berlin,https://www.stadtteilzentrum-steglitz.de/gutshaus-lichterfelde/,52.43910865007624,13.3163298275026
17,Stadtteilzentrum Marzahn-Mitte,"['Senioren', 'Familien', 'Frauen', 'Jung', 'queer', 'Männer', 'Fluchthintergrund', 'Migrationshintergrund', 'Marzahn Hellersdorf', 'Beratungsstelle', 'Stadtteilzentrum', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Beratung', 'Ehrenamt', 'Nachbarschaft', 'Geisteswissenschaften', 'Erholung', 'Dienst', 'o ri vollanbe']",Nachbarschaft,Angebote mit und für Menschen im Kiez,"Direkt an der Marzahner Promenade, mitten im Bezirk, bietet das Stadtteilzentrum Marzahn-Mitte viele Möglichkeiten und Raum für Begegnung, Beratung und Bildung sowie interkulturelle Arbeit.

Neben der klassischen Nachbarschafts- und Gemeinwesenarbeit gibt es beim Stadtteilzentrum auch die MachBar37, das zum Austausch zwischen Näh- und Strickbegeisterten einlädt. Neben der MachBar37 und unterschiedlichen Beratungsangeboten (Beratung für Geflüchtete oder allgemeine Sozial-, Berufs- und Lebensberatung) sind auch weitere Projekte im Stadtteilzentrum angesiedelt.

Wir freuen uns immer wieder über engagierte Menschen vor Ort. Wenn Sie ein Ehrenamt übernehmen wollen, eine Idee zum Mitmachen haben oder einfach nur einen Raum für Ihre eigene Festveranstaltung benötigen, kontaktieren Sie uns gerne per E-Mail und Telefon oder auch durch einen persönlichen Besuch vor Ort.",Marzahner Promenade 38,Berlin,https://volkssolidaritaet-berlin.de/einrichtungen/stadtteilzentrum-marzahn-mitte/,52.5450491,13.5492701
18,SoVD-Landesverband Berlin-Brandenburg e.V.,"['Senioren', 'Frauen', 'queer', 'Männer', 'Hintergrund der Behinderung', 'Fluchthintergrund', 'Migrationshintergrund', 'mitte', 'Friedrichshain Kreuzberg', 'Pankow', 'Charlottenburg Wilmersdorf', 'spandau', 'Steglitz Zehlendorf', 'Tempelhof Schoeneberg', 'Neukölln', 'Treptow Koepenik', 'Marzahn Hellersdorf', 'Lichtenberg', 'Reinickendorf', 'Englisch', 'Rollstuhl', 'barrierefreies Badezimmer', 'Beratungsstelle', 'Tagungszentrum', 'Gruppe', 'persönlich', 'online', 'telefonisch', 'Dienst', 'Beratung', 'Ehrenamt', 'Nachbarschaft', 'Erholung', 'o ri lanberbr']",volunteer_work,"Ehrenamtsbüro ""Hand in Hand - gemeinsam statt einsam"" und Ehrenamtlicher Besuchsdienst","Die Möglichkeiten, sich im SoVD zu engagieren, sind vielfältig. Gemeinsam finden wir für Sie eine passende Aufgabe, die Ihnen Spaß macht und mit der Sie andere unterstützen können. Den zeitlichen Umfang Ihres Engagements können Sie nach Ihren Wünschen gestalten.

Werden Sie Alltagsbegleiter\*in, Vorleser\*in oder Freizeitbegleiter\*in, helfen Sie uns ganz praktisch bei der Durchführung unserer regelmäßigen Angebote oder bei Aktionen vor Ort, werden Sie Digital-Pat*in und unterstützen Sie unsere älteren Mitglieder beim Kennenlernen der digitalen Welt und im Umgang mit Internet, Smartphone & Co. Auch in unseren Orts- und Kreisverbänden brauchen wir immer Menschen, die Spaß am Organisieren haben und dem SoVD eine Stimme geben wollen, z.B. auch durch Unterstützung der lokalen Öffentlichkeitsarbeit.

Wir sind als Verband Mitglied in vielfältigen Netzwerken und Bündnissen, z.B. im Landesnetzwerk Bürgerengagement oder dem Berliner Sozialgipfelbündnis. Auf Landesebene engagieren wir uns z.B. in der Landesfreiwilligenarbeit, im Landesseniorenbeirat/LSBB, Landeseniorenvertretung Berlin/LSV, im Landesbeirat für Menschen mit Behinderung und in der Landesarmutskonferenz. 

Für bezirkliche und landesspezifische Gremien können wir als Verband Delegierte benennen, die sich für die Rechte von Senior\*innen oder Menschen mit Behinderungen und die Umsetzung geltender Gesetzesgrundlagen einsetzten. Dazu gehören die bezirklichen Seniorenvertretungen oder die Behinderten- und Teilhabebeiräte.

",Kurfürstenstraße 131,Berlin,http://www.sovd-bbg.de,52.501891845787824,13.353613683832979
19,Gartenprojekt,"['Jung', 'Lichtenberg', 'Rollstuhl', 'Jugendeinrichtung', 'Gruppe', 'persönlich', 'Bildung', 'Erholung', 'o ri sozialwe', 'Dienst']",Erholung,aus dem Garten in den Mund,"Hier könnt ihr eine Menge über das Gärtnern erfahren, lernt Obst- und Gemüsesorten kennen, wichtige Insekten und vieles mehr. Natürlich ernten wir gemeinsam und lassen uns die frischen, leckeren Sachen schmecken.
mittwochs 15:00-17:00 Uhr

Wir sind für euch da!

Wir sind da, um zu reden, unterstützen bei Problemen, bei den Hausaufgaben und natürlich könnt ihr uns besuchen. 

Leider gelten aufgrund der Corona-Pandemie dafür einige Regeln, z.B. dürft ihr nur einzeln die kids-OASE betreten. 

Nehmt gern vorab telefonisch unter 0151/64 65 57 98 oder per WhatsApp Kontakt mit uns auf.",Gotlindestr. 38,Berlin,https://sozialwerk-dfb-berlin.de/kinderclub-kids-oase/,52.51858,13.5001
